,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manually Add,Manually Add,Manually Add,Manually Add,,,Lookup from Alumni Report,Lookup from Alumni Report,I organized these columns to be in the beginning of the report for pivot table/reporting purposes,,,,,,,,,Manually Add,,,Manually Add,,Lookup from Student Affairs Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International,Filled out survey,APSIA Job Category,APSIA Sector Category,Date Reported - NEW,Outcome,Concentration,Degree,Sector,Detailed Industry,Organization Name,Division,Job Title,Job City,Job State,Job Country,Job Title,Master Salary for Employment Statistics,Salary Range,Salary,LinkedIn Outcome Findings,Citizenship Status,OSA Country of Citizenship Lookup,Job Location State,Job Location Country,Sector,Detailed Industry,Job Phase,Job Source,"If you are not employed, are you currently seeking employment?",Continuing Education Full-time?,Organization Name,Company Description,Include in Reporting,30 hrs per week,Approximately how many hours a week do you serve?,Country where serving,Date of Offer Received,Degree to be Pursued After Graduation,Do you have a three (3) year STEM OPT visa?,Employer consideration for STEM,Gender,Approximately how many hours each month do you plan to volunteer?,Is Approved,Military Rank,Name of School in case of Continued Education,Program Name,Returning to previous employer,Scope of Organization,Self-employed,Sponsorship by Employer,Standard Job Source,What type of Own Venture is this?,What is the name of the fellowship program?,What will your enrollment status be at this school?,When did you actively start applying for a full-time job?,Why are you not seeking employment?,Base Salary Pay Period,Carried Interest Pay Period,Expected Bonus Pay Period,Expected Commission Pay Period,Guaranteed Bonus Pay Period,I'm volunteering and not currently receiving compensation,Salary plus Bonuses,Total Compensation Pay Period,End Date,Length of Commitment,Reported Date,Start Date,What is your approximate start date?,City,Country,Job Location,Metro Area,Postal Code,US State / Canada Province,Did this job come as a result of an internship you had with this employer?,Is this a faculty position?,Is this a freelance position?,Is this a full-time position?,Is this a post-graduation internship?,Is this a temporary/contract job?,Is this a tenured position?,Is your position a fellowship?,Other Outcome Additional Details,Please provide other pertinent information about your job,Reason for Rejecting,Will you be or are you currently working under Optional Practical Training (OPT) status?,Working at a Recently Founded Organization
Yes,Yes,30 Hours per week,For profit,06/14/2023,Job,International Finance and Economic Policy,MPA,Public,Foreign Government,Banco de Mexico,Central Bank Regulations Division,Senior Analyst,"Mexico City,",,Mexico,Senior Analyst,,"o	$40,000-$44,999","o	$40,000-$44,999",,,,,Mexico,Private,Finance/Banking,Post Graduation,Former Employer,,,,,Yes,Yes,,Mexico,05/22/2023,,,,Male,,Yes,,,,Yes,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,06/14/2023,06/12/2023,06/12/2023,Mexico City - Mexico,Mexico,Partially Remote,Not US-Based Job,06000,Planning to work outside of the US,No,,,Yes,No,No,,No,,,,No,No
Yes,Yes,Still Seeking Employment,,07/14/2023,Still Seeking Employment,No Concentration,MPA-MDP,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/14/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MIA,Public,Foreign Government,Bank of England,,Insurance Supervisor,"London, ",,England,,,,,,,,,England,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,No Concentration,MPA-EPM,Public,Foreign Government,Bank of Japan,,Planning and Coordination Officer,"Tokyo,",,Japan,,,,,,,,,Japan,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Government,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Public,Foreign Government,Bank of Thailand,,Senior Economist,"Bangkok, ",,Thailand,,,,,,,,,Thailand,Public,Foreign Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,No Concentration,MPA-EPM,Public,Foreign Government,Bank of Thailand,,Senior Economist,,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,01/03/2024,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MIA,Nonprofit,Foundations/Institutions,Barenboim-Said Foundation (USA),n/a,Executive Director,"New York,",NY,United States,Executive Director,,"o	$100,000-$104,999","o	$100,000-$104,999",,,,NY,United States,Non-profit,Foundations/Institutions,Post Graduation,Personal Contact,,,,,Yes,Yes,,United States (USA),12/19/2023,,No,,Male,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,01/03/2024,01/01/2024,01/01/2024,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,No,,,Yes,No,No,,no,,,,no,no
No,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Finance/Banking,BBVA,,LatAm FX & Fixed Income Strategist,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,07/14/2023,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,Research/Think Tank,Beijing Institute of Finance and Sustainability,Research Center for International Collaboration,Junior Researcher,"Beijing, ",,China,Junior Researcher,,"o	$20,000-$24,999","o	$20,000-$24,999",,,,,China,Non-profit,Research/Think Tank,Post Graduation,"Internet Job Board (Monster, Career Builder, etc.)",,,,,Yes,Yes,,China Mainland,04/07/2023,,,,Male,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,07/14/2023,06/30/2023,06/30/2023,Beijing - China,China Mainland,On Site,Not US-Based Job,,Planning to work outside of the US,No,,,Yes,No,No,,no,,,,no,yes
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Consulting,Bengs,,Business Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,ENERGY AND ENVIRONMENT,MPA,Private,Consulting,BGC Financials,ESG,Associate,"Houston, ",TX,United States,Associate,,"o	$120,000-$124,999","o	$120,000-$124,999",,,,TX,United States,private,Consulting,Post Graduation,Campus Interview Program,,,,,Yes,Yes,,United States (USA),02/05/2023,,,,Male,,Yes,,,,Yes,,No,Yes,School Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,06/15/2023,06/15/2023,Houston - TX,United States (USA),On Site,Houston-Baytown-Huntsville -- TX,10026,Texas,Yes,,,Yes,No,No,,no,,,,yes,no
Yes,Yes,Still Seeking Employment,,07/03/2023,Still Seeking Employment,Economic and Political Development,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/03/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,02/16/2024,Job,International Finance and Economic Policy,MIA,Private,Finance/Banking,BlackRock,,"Analyst, Portfolio Consulting","New York,",NY,United States,,,"o	$100,000-$104,999","o	$100,000-$104,999",,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Finance/Banking,BlackRock,,Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,International Finance and Economic Policy,MIA,Private,Finance/Banking,BlackRock,,Social Impact,"New York,",NY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,No Concentration,MPA-MDP,Private,Other – Business Services,Bloomberg,,BloombergNEF - Trade & Supply Chain,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,No Concentration,MPA-ESP,Private,Consulting,Bluefield Research,"I am working on digital water issues, broadly referring to the intersection of water and technology. One notable issue for example is cybersecurity for water utilities.",Analyst,"Boston, ",MA,United States,Analyst,,"o	$60,000-$64,999","o	$60,000-$64,999",,,,MA,United States,Private,Consulting,Post Graduation,Other,,,,"Bluefield Research is a leading source of information and insights into critical areas shaping the emerging market water landscape, including water system ownership; water and energy; desalination, water reuse, water & wastewater treatment, industrial water; country and sector forecasting; supply chain analysis, and technology economics.   Businesses and industry leaders across the value chain leverage Bluefield’s expert and independent analysis to make high-impact decisions and develop strategies across emerging markets. The company is headquartered in Boston, Massachusetts.",Yes,Yes,,United States (USA),03/21/2023,,,,Female,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,"$2,500 given in relocation stipend. Base salary of $63,000, expected bonus of around $5,000 which might vary depending on company and individual performance.",,,,06/13/2023,07/10/2023,07/10/2023,Boston - MA,United States (USA),On Site,Boston-Worcester-Manchester -- MA-NH,MA 02110,Massachusetts,No,,,Yes,No,No,,No,,,,Yes,No
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MPA,Private,Consulting,Boston Consulting Group (BCG),,Senior Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,12/05/2023,Job,Human Rights & Humanitarian Policy ,MIA,Nonprofit,Public Interest/Advocacy,DigDeep Water,,Policy Fellow,"Los Angeles,",CA,United States,,,,,,,,,,,,Post Graduation,,"I have received one or more offers of employment but have declined, I have interviewed for one or more opportunities but have not received an offer of employment",,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Other  ________________________________________________,,,,,,,,,,,,12/05/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,Economic and Political Development,MPA,Private,Consulting,Boston Consulting Group (BCG),,Project Leader,,,India,,,,,,,,,India,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,Urban and Social Policy,MPA,Private,Consulting,Boston Consulting Group (BCG),,Consultant,,,Brazil,,,,,,,,,Brazil,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MIA,Private,Consulting,Boston Consulting Group (BCG),,Senior Associate,"Seattle,",WA,United States,,,,,,,,WA,United States,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Private,Consulting,Boston Consulting Group (BCG),,Consultant,"Nairobi,",,Kenya,,,,,,,,,Kenya,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,For profit,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Consulting,Boston Consulting Group (BCG),,Associate,"Bayern,",,Germany,,,,,,,,,Germany,Private,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,06/17/2023,Job,Human Rights & Humanitarian Policy ,MPA,Nonprofit,Public Interest/Advocacy,Brave Generation,,MentorUkraine Mentor,,New York,United States,,,,,,,,New York,United States,Non-profit,Public Interest/Advocacy,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/17/2023,,,,,,,,,,,,,,,,,,,,,
No,No,,,,Job,International Finance and Economic Policy,MPA,Private,Technology,Brev Dev,,AI Policy Intern,"San Francisco,",CA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,06/13/2023,Job,International Finance and Economic Policy,MIA,Private,Finance/Banking,Bridgewater Associates,Investment Engine,Investment Associate,"Westport,",CT,United States,Investment Associate,,"o	$200,000 or greater","o	$200,000 or greater",,,,CT,United States,Private,Finance/Banking,Post Graduation,Job Posting,,,,,Yes,Yes,,United States (USA),08/24/2022,,,,Male,,Yes,,,,No,,No,Yes,School Facilitated,,,,,,,per year,,,,,,,,,06/13/2023,09/11/2023,09/11/2023,Westport - CT,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,Connecticut,Yes,,,Yes,No,No,,No,,,,Yes,No
Yes,Yes,30 Hours per week,For profit,06/14/2023,Job,No Concentration,MPA-MDP,Private,Other – Business Services,Brightcore Energy,,Business Development Analyst,"New York,",NY,United States,,,,,,,,NY,United States,Private,Other – Business Services,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/14/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,,,,Job,ENERGY AND ENVIRONMENT,MPA,Private,Technology,Brineworks,,"
CEO & Co-Founder",Amsterdam,,North Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Not seeking,,06/28/2023,Not seeking / Other Intention,International Finance and Economic Policy,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,,,,,Yes,,,,,,,,Female,,Yes,,,,Yes,,,,,,,,,"I am working at my previous employer, Indonesia Financial Services Authority",,per year,,,,,,,,,06/28/2023,05/15/2023,05/15/2023,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,No Concentration,EMPA,Nonprofit,Nongovernmental Organizations,Bryant Park Corporation / 34th Street Partnership,,"Vice President, Capital Projects","New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Nongovernmental Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,08/17/2023,Job,No Concentration,MPA-ESP,Nonprofit,Public Interest/Advocacy,Building Energy Exchange,Educational Resources,Senior Associate,"New York,",NY,United States,Senior Associate,,"o	$65,000-$69,999","o	$65,000-$69,999",,,,NY,United States,Non-profit,Public Interest/Advocacy,Post Graduation,Personal Contact,,,,"The Building Energy Exchange (BE-Ex) is an independent nonprofit driving energy efficiency in the built environment through our first of its kind resource center in downtown Manhattan. We act as a hub for activities that help building owners, operators, and designers save money and reduce pollution and carbon emissions through energy efficiency measures. We provide education, exhibits, targeted research and critical tools to advance the energy efficiency of buildings, directly supporting the City and the State’s ambitious climate action plans. BE-Ex coordinates closely with the NYC Mayor’s Office of Sustainability, serving as the education and resource hub for the NYC Retrofit Accelerator.",Yes,Yes,,United States (USA),07/27/2023,,,,Do not wish to provide,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,08/17/2023,08/07/2023,08/07/2023,New York - NY,United States (USA),Partially Remote,New York-Newark-Bridgeport -- NY-NJ-CT-PA,,New York,No,,,,No,No,,No,,,,No,No
No,No,30 Hours per week,Non-profit,,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Public Interest/Advocacy,C4ADS,,Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Public Interest/Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,Nongovernmental Organizations,Calstart,,EV Industry Assessment Specialist,"Brooklyn,",NY,United States,,,,,,,,NY,United States,Non-profit,Nongovernmental Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,For profit,06/28/2023,Job,ENERGY AND ENVIRONMENT,MPA,Private,Technology,Campaign Brain,I am founding a political technology company.,Founder + CEO,"New York,",NY,United States,Founder + CEO,,"o	$19,999 or less","o	$19,999 or less",,,,NY,United States,Private,Technology,Post Graduation,Personal Contact,,,,,Yes,Yes,,United States (USA),03/01/2023,,,,Male,,Yes,,,,No,,Yes,No,Graduate Facilitated,,,,,,,per year,,,,,"$1,500 monthly",,12/15/2024,,06/28/2023,05/30/2023,05/30/2023,New York - NY,United States (USA),On Site,New York-Newark-Bridgeport -- NY-NJ-CT-PA,10013,New York,No,,,Yes,No,No,,No,,,,No,Yes
Yes,Yes,30 Hours per week,For profit,06/29/2023,Job,No Concentration,MPA-ESP,Private,Consulting,Camphora Pty Ltd,,Outreach Coordinator,,,Singapore,,,,,,,,,Singapore,Private,Consulting,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/29/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,For profit,,Job,No Concentration,MPA-ESP,Private,Finance/Banking,Capital for Climate,,Associate,"New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,For profit,07/05/2023,Job,International Finance and Economic Policy,MPA,Private,Finance/Banking,CapShift LLC,Investment Research,Impact Investment Research Fellow,"West Newton,",MA,United States,Impact Investment Research Fellow,,"o	$50,000-$54,999","o	$50,000-$54,999",,,,MA,United States,Private,Finance/Banking,Post Graduation,Alumni Contact,,,,,Yes,Yes,,United States (USA),04/15/2023,,,,Female,,Yes,,,,No,,No,No,School Facilitated,,,,,,,per year,,,,,,,12/11/2023,,07/05/2023,06/12/2023,06/12/2023,West Newton - MA,United States (USA),Partially Remote,Boston-Worcester-Manchester -- MA-NH,02465,Massachusetts,Yes,,,Yes,No,Yes,,No,,,,Yes,No
Yes,No,30 Hours per week,For profit,,Job,International Finance and Economic Policy,MIA,Private,Finance/Banking,Capstone Investment Advisors,,"Associate, Macro Research","New York,",NY,United States,,,,,,,,NY,United States,Private,Finance/Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,30 Hours per week,Non-profit,06/28/2023,Job,ECONOMIC AND POLITICAL DEVELOPMENT,MPA,Nonprofit,Public Interest/Advocacy,CARE,,Knowledge Management and Learning Intern,"Atlanta, ",GA,United States,,,,,,,,GA,United States,Non-profit,Public Interest/Advocacy,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/28/2023,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,ENERGY AND ENVIRONMENT,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,No Concentration,EMPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,No Concentration,MPA-MDP,Nonprofit,Research/Think Tank,CCAP,,Climate finance Research Analyst,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Still Seeking Employment,,07/18/2023,Still Seeking Employment,No Concentration,MPA-ESP,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Male,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,07/18/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,06/13/2023,Job,No Concentration,MPA-ESP,Nonprofit,Public Interest/Advocacy,CDP,,"Account Manager, Sustainable Supply Chains","New York,",NY,United States,,,,,,,,NY,United States,Non-profit,Foundations/Institutions,Post Graduation,,I have interviewed for one or more opportunities but have not received an offer of employment,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	Spring 2023,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
No,Yes,30 Hours per week,Non-profit,07/17/2023,Job,No Concentration,MPA-ESP,Nonprofit,Public Interest/Advocacy,Center for American Progress,International Climate Policy,Senior Policy Analyst,"Washington, DC",,United States,Senior Policy Analyst,,"o	$90,000-$94,999","o	$90,000-$94,999",,,,"Washington, DC",United States,Non-profit,Public Interest/Advocacy,Post Graduation,Campus eNewsletter,,,,"The Center for American Progress is a think tank dedicated to improving the lives of Americans through ideas and action. We combine bold policy ideas with a modern communications platform to help shape the national debate, expose the hollowness of conservative governing philosophy, and challenge the media to cover the issues that truly matter.",Yes,Yes,,United States (USA),03/23/2023,,,,Female,,Yes,,,,No,,No,No,Graduate Facilitated,,,,,,,per year,,,,,,,,,07/17/2023,04/03/2023,04/03/2023,Washington - DC,United States (USA),Partially Remote,Washington-Baltimore-Northern Virginia -- DC-MD-VA-WV,,District of Columbia,No,,,Yes,No,No,,No,,,,No,No
Yes,No,Unknown,,,Unreported,No Concentration,EMPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Finance and Economic Policy,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,Unknown,,,Unreported,International Security Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Not seeking,,09/13/2023,Not seeking / Other Intention,No Concentration,MPA-ESP,,,,,,,,,,,,,,,,,,,,Post Graduation,,,,,,Yes,,,,,,,,Female,,Yes,,,,No,,,,,,,,,Employed,,per year,,,,,,,,,09/13/2023,05/15/2024,05/15/2024,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Research/Think Tank,Center for Strategic and International Studies (CSIS),,"Program Coordinator & Research Assistant, Missile Defense Project","Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,INTERNATIONAL SECURITY POLICY,MIA,Nonprofit,Research/Think Tank,Center for Strategic and International Studies (CSIS),,Program Manager & Research Associate,"Washington, DC",,United States,,,,,,,,"Washington, DC",United States,Non-profit,Research/Think Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Still Seeking Employment,,06/13/2023,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,Post Graduation,,I have applied for one or more opportunities but have not received an invitation to interview,,,,Yes,,,,,,,,Female,,Yes,,,,,,,,,,,,o	I have not started actively applying.,,,per year,,,,,,,,,06/13/2023,,,,,,,,,,,,,,,,,,,,,
No,No,30 Hours per week,Non-profit,,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,University/Education,Center on Global Energy Policy,,Research Associate,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,University/Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,Unknown,,,Unreported,Urban and Social Policy,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,30 Hours per week,Non-profit,,Job,ENERGY AND ENVIRONMENT,MPA,Nonprofit,University/Education,Center on Global Energy Policy,,Research Associate to the Founding Director,"New York,",NY,United States,,,,,,,,NY,United States,Non-profit,University/Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
